de,dsb
Die Ausstattung der Wohnung ist schön.,Wugótowanje bydlenja jo rědne.
Die Gemeinde Boxberg wollte die Immobilie loswerden.,Gmejna Hamor jo kśěła imobiliju wótbyś.
Das Kabinett der dortigen Regierung hat sich mit der Lage in Lauchhammer auseinandergesetzt.,Kabinet tamnjejšego kněžaŕstwa jo se z połoženjom w Lauchhammerje rozestajał.
Mit dem Dokument wollen sie das Profil der Union in der Klimapolitik schärfen.,Z dokumentom kśě profil unije w klimowej politice wóstśiś.
Mit der Gesamtsumme möchte sie die Erneuerung der Straßenbeleuchtung sicherstellen.,Z cełkowneju sumu co wóna wobnowjenje droznego wobswětlenja zawěsćiś.
"Eine entsprechende Vereinbarung für das ""Lausitzer Referenzkraftwerk"" haben die Projektpartner unterzeichnet.","Wótpowědujuce dogrono za ""Łužysku referencnu milinaŕnju"" su projektowe partnarje pódpisali."
Die Erzieherin vermittelt den Kindern das Sorbische immersiv.,Wótkubłaŕka pósrědnja źiśam serbšćinu imersiwnje.
Die Zuschauer eilen dort zu Tausenden aus aller Welt herbei.,Pśiglědowarje pśichwataju tam pó tysacach z cełego swěta.
Danach wirkte ich in verschiedenen Dorfgemeinden um Leipzig herum.,Pótom som statkował we wšakich wejsnych wósadach wokoło Lipska.
So haben mehr Menschen die Region besucht als im Vorjahr.,Tak jo wěcej luźi region woglědało nježli lěto do togo.
Im Laufe der Zeit hat die Bezeichnung den Weg in unseren Wortschatz gefunden.,W běgu casa jo pómjenjenje drogu do našogo słowoskłada namakało.
Ende April wird es erstmals der Öffentlichkeit vorgestellt.,Kóńc apryla buźo k prědnemu razoju zjawnosći pśedstajona.
"Ein Abgeordneter befürchtet, dass die Preissteigerungen sie dazu zwingen könnten.","Jaden wótpósłańc se bój, až mógali jo wušej płaśizny k tomu nuzkaś."
Die Städte und Kommunen sollten ihr Vorgehen abstimmen.,Města a komuny měli swóje póstupowanje wótgłosowaś.
Zu konkreten Vereinbarungen ist es in dem Arbeitsgespräch nicht gekommen.,Ku konkretnym dojadnanjam na źěłowem rozgronje dojšło njejo.
Gäste sind also herzlich willkommen.,Gósći su toś wutšobnje witane.
Zum ersten Mal wurde im Spreebad gespielt.,Prědny raz jo se  grało w Sprjewinem kupadle.
Letzte Woche Donnerstag sind sie ohne den Vater in Plotzen gewesen.,Stwórtk  tyźeń stej bźez nana w Błocanach byłej.
Wie definierst du eigentlich das Wort „Asyl“?,Kak definěrujoš pópšawem słowo „azyl“?
• 115  Euro für die Rücknahme oder den Widerruf einer Berechtigung,• 115 euro za slědkweześe abo wótwołanje wopšawnjenja
Ab dem kommenden Jahr sollen die Menschen umsiedeln.,Wót pśiducego lěta maju se luźe pśesedliś.
Bewegungsübungen komplettieren das Programm.,Pógibowańske zwucowanja kompletěruju program.
"Zugleich geht es darum, die Verwaltung für die digitale Zukunft fit zu machen.","Rownocasnje źo wó to, zastojnstwo za digitalny pśichod wukmanić."
Möglichst im Jahre 2021 soll der Knappensee wieder zugänglich sein.,Pó móžnosći w lěśe 2021 dej Hórnikečanski jazor zasej pśistupny byś.
Alle gehören dem Verein Njepila-Hof.,Wšykne słušaju towaristwoju Njepilic dwór.
Sie hat sich mehr für ihre sorbischen Wurzeln begeistert.,Wóna jo se wěcej za swójo serbske kórjenje górjeła.
Für 140 verschiedene Projekte aus ganz Sachsen wurden Wettbewerbsunterlagen eingereicht.,Za 140 wšakotake  projekty z cełeje Sakskeje su se zapódali wuběźowańske pódłožki.
Somit sind beide Stiftungen noch nicht arbeitsfähig.,Stakim njejstej wobej załožbje hyšći do źěła zamóžne.
• Jährliche Register- und Betreuungsgebühr 210  EUR,• lětny płaśonk za register a pśewóźowanje 210 euro
Die Texttafeln komplettieren Beispiele für typische Patengeschenke an Gründonnerstag.,Tekstowe tofle wudopołnjuju pśikłady za typiske kmótšojske dary k jatšownemu stwórtkoju.
Der LEAG-Konzern möchte mit allen Bewohnern an einem Strang ziehen.,Koncern LEAG co ze wšyknymi wobydlarjami za jaden powrjoz śěgnuś.
Vertreter des Vereins „Njepila-Hof“ Rohne besuchten kürzlich den Regionalverband Niederlausitz.,Zastupniki towaristwa „Njepilic dwór“ Rowne su njedawno woglědali  župje Dolna Łužyca.
Kümmere dich um die Kooperation mit anderen Kulturinstitutionen!,Staraj se wó kooperaciju z drugimi kulturnymi institucijami!
Die Führungsfunktionen des Vorsitzenden und des Stellvertreters üben Männer aus.,Wjednistwowe funkcije pśedsedarja a zastupujuceju pśedsedarjowu wugbaju muske.
Dann kommt es aus dem Versteck hervor und haut ab – für immer.,Pón pśiźo naprědk ze schowa a wuběgnjo – na pśecej. 
Nie wurde Druck auf ihn ausgeübt.,Žednje njejsu śišć na njogo wugbali.
"Sein gestern geäußerter Gedanke regt einen dazu an, tiefer darüber nachzudenken.","Jogo cora zwuraznjona mysl śi pógnuwa, nadrobnjej wó tom pśemyslowaś."
Schon Anfang September wurde dies vom Cottbuser Amtsgericht verboten.,Južo wót zachopjeńka septembra jo se to zakazało wót chóśebuskego zastojnstwowego sudnistwa.
•  gegebenenfalls Nachweise von Qualifizierungen,•  ewentuelnje dopokaze kwalificěrowanja
Mehr Zugang möchte er vor allem zum Sorbischen finden.,Wěcej pśistupa co pśedewšym k serbšćinje namakaś.
Das dem Kind in sorbischer Sprache Gesagte macht die Imkerin auch den Eltern verständlich.,To źiśam w serbskej rěcy gronjone wujasnijo pcołkaŕka teke starjejšym.
"Alles, soweit wir die anderen Bewohner der Lausitz nicht stören?","Wšykno, tak dłujko ako drugich wobydlarjow Łužycy njemólimy?"
Führungsaufgaben stehen dem Pfarrer und der Gemeinde zu.,Nawjedowańske nadawki pśistoje fararjoju a wósaźe.
" Kraftfahreignung befasst,"," jězdźaŕskeje gódnosći,"
Das bewahren wir mit unserem geschützten Vereinslogo.,To zachowajomy ze swójim šćitanym towarišnostnym logo.
Die meisten von ihnen wurden unter seiner Verantwortung ausgerichtet.,Wětšynu z nich su pód jogo zagronitosću pśigótowali.
Das zumindest meinen die Mitglieder des Dresdner Vereins „Stup dale“.,To nanejmjenjej změnja cłonki drježdźańskego towaristwa „Stup dalej“.
Sämtliche Dispositions- und Organisationsangelegenheiten des künstlerischen Betriebes.,Wšykne dispoziciske a organizatoriske nastupnosći wuměłskego zawoda.
Das Projekt kann jetzt auf Fördermittel der Bundesregierung hoffen.,Pśedewześe móžo se na spěchowańske srědki zwězkowego kněžaŕstwa naźejaś.
Später schrieb er auch seine Dissertation.,Pózdźej jo pisał teke swóju disertaciju.
Die Sanierung der Radiborer Schlosses geht nur in kleinen Etappen voran.,Saněrowanje radworskego groda pókšacujo jano w małych etapach.
Dessen sind sich aktive Sorben heute bewusst.,Togo su sebje aktiwne Serby źinsa wědobne.
Genau vor diesem Schritt steht man aber in Mühlrose.,Rowno pśed teju kšacenju pak w Miłorazu stoje.
Das hat sich nun geändert.,To jo se něnto změniło.
Diese wurde nach der barocken Vorlage aus dem Jahr 1735 restauriert.,Toś ta bu pó barokowem pśikłaźe z lěta 1735 restawrěrowana.
% S ist auf% S ermöglicht.,%S jo na %S zmóžnjony.
"Ein Staat, der den freien Gedankenaustausch hindert, wird keine gute Zukunft haben.","Stat, kótaryž zadora lichu wuměnu myslow, njezmějo dobry pśichod."
Heute sind insgesamt 105 Anbieter im System eingebunden.,Źinsa jo cełkownje 105 póbitowarjow ze systemom zwězanych.
Die Mehrheitsbevölkerung sollte die Zweisprachigkeit der Lausitz noch näher erleben.,Wětšynowa ludnosć měła dwójorěcnosć Łužycy hyšći bližej dožywiś.
In Neschwitz haben Unbekannte am Silvesterabend einen Zigarettenautomaten gesprengt.,W Njeswačidle su njeznate silwester wjacor cigaretowy awtomat rozbuchnuli.
Über die ungewöhnliche Arbeit des ausgebildeten Malers erfahren Sie noch mehr.,Wó njewšednem źěle wukubłanego mólarja zgónijośo wy hyšći wěcej.
"Die Sorbische Fachschule soll dort bleiben, wo sie ist.","Serbska fachowa šula ma tam wóstaś, źož jo."
Fast vergessen ist das Haus für die sorbische Volkskunst.,Skóro zabyty jo Dom za serbske ludowe wuměłstwo.
Möglichst ab dem kommenden Jahr soll die neue Kalkulation gültig sein.,Pó móžnosći wót pśidecego lěta dej nowa kalkulacija płaśeś.
Jesus antwortet ihm.,Jezus wótegroni jomu.
Die Erzieherin bietet Kleinstkindern sorbischsprachige Bewegungs- und Lautspiele an.,Wótkubłaŕka pórucujo małym góletkam serbskorěcne pógibowańske a zukowe graśa.
Die derzeitige Wirtschaftslage der Gemeinde ist angespannt.,Tuchylne góspodaŕske połoženje gmejny jo napněte.
Das Hoffest findet im kommenden Jahr im September in Grubschütz statt.,Dwórowy swěźeń pśewjedu znowa w septembrje w Hrubjelčicach.
So ein Wetter kennt Witko. ,Toś to wjedro Witko znajo. 
"Den Einwohner von Mühlrose rate ich, sich nicht mit den Aktivisten zu konfrontieren.","Wobydlarjam Miłoraza raźe, se z aktiwistami njekonfrontěrowaś."
Ebersbach ist ein wichtiger Verkehrsknotenpunkt in der Lausitz.,Habrachćicy su wažne wobchadowe kśicnišćo we Łužycy.
Auch die Teiche nahe Rietschen wird die Strecke nicht queren.,Teke gaty blisko Rěčice njebuźo nowa cera prěkowaś.
Machen wir ja gar nicht.,To wšak njecynimej.
Ins Jubiläumsjahr wollten die Schauspieler mit einer Premiere starten.,Do jubilejnego lěta su kśěli grajarje z premjeru startowaś.
Den Auftrag übernimmt das Görlitzer Ingenieurbüro Richter & Kaup.,Nadawk pśewzejo Zgórjelski inženjerski běrow Richter & Kaup.
Dafür erntete er den Applaus der Delegierten.,Za to žnějašo wón pśiklask delegatow.
"Sie schlug vor, es auf der Hauptversammlung zu tun.","Wóna jo naraźiła, to na głownej zgromaźinje cyniś."
Auf der vierten Stufe kommt es zwar erstmals zu einer gewissen „Beteiligung“.,Na stwórtem schójźeńku pśiźo drje prědny raz k wěstemu „wobźělenju“.
Die große Suche hat jetzt begonnen.,Wjelike pytanje jo se něnto zachopiło.
Als Modellregionen sollen sie über ihre Grenzen hinaus ausstrahlen.,Ako modelowy region deje  se swójske granice pśesegajucy wugbaś.
Vielleicht entdecken Sie Gemeinsamkeiten?,Snaź nadejźośo zgromadnosći?
Er möchte den gesamten Prozess auch begleiten.,Wón co cełkowny proces teke pśewóźowaś.
Das Auffälligste ist das Neue Schloss in seinem purpurroten Mantel. ,Nejwěcej nadpadny jo Nowy grod w swójej purpurcerwjenej sukni. 
Die Technologie will man in Schwarze Pumpe erproben.,Technologiju kśě w Carnej Pumpje pśespytowaś.
"Bevor du nicht genügend verdienst, kannst du dir kein Auto kaufen.","Nježlic dosć njezasłužyjoš, njamóžoš sebje  awto kupiś."
In den Anfangsjahren haben sie die Stellung der Eltern in Bezug auf die Zweisprachigkeit nicht ausreichend berücksichtigt.,W zachopnych lětach njejsu poziciju starjejšych nastupajucy dwójorěcnosć dosć wobglědowali.
Die Rechtsaufsicht hat der Terminverschiebung schon zugestimmt.,Statne doglědowaŕstwo jo wótstarcenju termina južo zwóliło.
Ich bin im Anorak.,Ja som w anoraku.
Ein neues Ultraschall System ist da.,Dajo nowy ultrazwukowy system.
In Ebersbach wurde vor Kurzem eine neue Kirche gebaut.,W Habrachćicach su pśed krotkim nowu cerkwju natwarili.
Die Wochenarbeitszeit beträgt 24 Stunden.,Tyźeński źěłowy wobměr wucynijo 24 góźinow.
Fremdenfeindlichkeit ist sehr ähnlich der Ausländerfeindlichkeit.,Njepśijaśelskosć napśeśiwo cuzym jo wjelgin pódobna njepśijaśelskosći napśeśiwo wukrajnikam.
"Unter uns hörte ich einen Wolkenbruch, Stürme und Donner toben.","Pód nama som słyšał  mócnu lejawu, štormy a grimanja šariś."
Das sollten wir nie vergessen.,Na to njesměli žednje zabyś.
Der Vorschlag stieß bei mehreren Anwesenden nicht auf offene Ohren.,Naraźenje mjazy někotarymi pśibytnymi njejo na wótwórjonej wušy starcyło.
"•  Identitätsnachweis ( Personalausweis, Reisepass, Passersatzpapiere für ausländische Staatsangehörige)","•  Wopokazmo identity (personalny wupokaz, drogowaŕski pas, zastupne dokumenty identity za pśisłušniki drugich krajow)"
"Den Kindern wird es überlassen, die Sprache frei zu wählen.",Źiśam se pśewóstaja rěc lichotnje wubraś.
• Sozialkonzept ,• Socialny koncept 
Montag vor einer Woche sind sie zusammen bei der Großmutter in Kleinpartwitz gewesen.,Pónjeźele  tyźeń stej gromaźe pla starki w Bjezdowach byłej.
Ein wenig skeptisch schaut der weiße Kater auf das neue Jahr.,Pitśku skeptiski běły kócor na nowe lěto glěda.
Solches steht im WITAJ-Sprachzentrum in Bautzen zur Verfügung.,Taki stoj w Rěcnem centrumje WITAJ w Budyšynje k dispoziciji.
Im Dunkeln kann der Luchs sechsmal besser sehen als der Mensch.,W śamnosći móžo rys šesć raz lěpjej wiźeś ako cłowjek.
Steht sie zu den Aussagen und der Meinung ihres Vorsitzenden?,Stoj wóna k wugronam a měnjenju swójogo pśedsedarja?
Er zeigte ihr den Park am Stadtrand und die Cafés.,Wón jo jej pokazał  park na kšomje města a kafejownje.
Dafür ist sie ihnen zeitlebens dankbar.,Za to jo wóna jima cas žywjenja źěkowna.
Der neue Bautzener Bahnhof ist seit gestern um eine weitere Attraktion reicher.,Nowe budyšyńske dwórnišćo jo wót corajšnego wó dalšnu wósebnosć bogatše.
Im ersten Raum erwarten die Besucher grundlegende Informationen.,W prědnej rumje cakaju na wopytowarja zasadne informacije.
Den Domowina-Vorsitzenden Dawid Statnik zitiert eine große Wochenzeitung.,Pśedsedarja Domowiny Dawida Statnika citěrujo wjeliki tyźeński casnik.
Das war so cool! ,To jo było tak cool! 
"Weitere diskutieren darüber, ob mit dem Sejm sprechen oder nicht.","Dalšne diskutěruju wó tom, lěc dejali ze sejmom powědaś abo nic."
Die entwurzelten Bäume können aber nicht einfach im Wald liegengelassen werden.,Wukórjenjone bomy pak njamógu jadnorje w góli lažecy wóstaś.
Sie kämpfen für ihre Zukunft.,Wóni wójuju za swój pśichod.
Das nächste Projekt ist die sorbische Sprache in eine Dresdener Schule zu bringen.,"Pśiducy projekt jo, serbsku rěc do drježdźańskeje šule pśinjasć."
Der Verein arbeitet weiter an der neuen Homepage.,Towaristwo źěła dalej na nowej homepage.
Zum Jubiläum haben sie die Erstaufführung des Spieles „In den Fängen des Schwarzen Herrn“ vorbereitet.,K jubilejoju su prapremjeru graśa „W putach Carnego pana“ spśigótowali.
Der Bund lehnt einen solchen Fortschritt an Autobahnen ab.,Zwězk take póstupowanje pśi awtodrogach wótpokazujo.
Deswegen sind sie uns sehr wichtig.,Togodla su nam wjelgin wažne.
Den entsprechenden Grundlagenvertrag haben die Verantwortlichen gestern in Mühlrose unterzeichnet.,Wótpowědujuce zakładne dogrono su zagronite cora w Miłorazu pódpisali.
[Kein Benutzername],[Žedno wužywarske m﻿
Im Jahr 2013 belief er sich noch auf 29 Prozent.,Lěta 2013 jo wón wucynił hyšći 29 procentow.
Der Freistaat finanziert es mit Steuermitteln mit.,Lichy stat je z dankowymi srědkami sobu financěrujo.
"Wir sehen alle, dass ihnen die Situation nicht ganz geheuer ist.","Wšykne wiźimy, až jo jim ceła situacija někak  pódglědna."
Der Träger stellt sorbischsprachiges technisches Personal ein.,Nosaŕ pśistaja serbskorěcny techniski personal.
So auch in der letzten Bundesvorstandssitzung in Crostwitz.,Tak teke na minjonym wobradowanju zwězkowego pśedsedaŕstwa w Chrósćicach.
Die Demonstration beginnt auf dem Forum vor dem Kanzleramt.,Demonstracija zachopijo se na forumje pśed kanclaŕskim zastojnstwom.
"Dafür möchte ich mich einsetzen, sagte die 41-jährige Rosenthalerin.","Za to cu se zasajźiś, jo groniła 41-lětna Róžeńčanka."
Der Landrat wird den neuen Radweg seiner Bestimmung übergeben.,Krajny raźc  pśepódajo nowu sćažku za kólasowarjow swójomu zaměroju.
Dann beginnt die Bewerbungsphase des sächsischen Fonds „Mach mit!“ 2020.,Pótom zachopijo se faza procowanjow sakskego fondsa „Cyń sobu!“ 2020.
"Die Kulissen haben wir zusammen mit den Schülern selbst gebaut, erklärte sie.","Kulisy smy zgromadnje ze wuknikami sami zgótowili, jo wóna rozkładła."
Er ist in der Vitrine versteckt.,Jo we witrinje schowany.
• ausländische Kennzeichen (sofern vorhanden) ,• wukrajne toflicki z wobznamjenjenim (jolic až su dane) 
Im vergangenen Jahr hatte das Land bereits 75000 Euro für die Vorbereitungen zur Verfügung gestellt.,Łoni jo kraj južo 75000 eurow za pśigóty pśewóstajił.
Der Wendischbaselitzer organisierte wöchentliche Arbeitseinsätze der Arbeitsbrigade für 16 Jugendliche.,Serbskopazličan organizěrowašo tyźeńske zasajźenja źěłoweje brigady ze 16 młodostnymi.
E-Mail:  info@ak-brandenburg.de,e-mail:  info@ak-brandenburg.de
"Solche, die für Geld kämpfen, haben sie nicht mehr gekannt.","Takich, kenž za pjenjeze wójuju, njejsu južo znali."
•  per Post: maximal 10 Tage,•  z postom: maksimalnje źaseś dnjow
"„Das ist schön“, antwortet Witko lustlos. ","„To jo derje“, wótegronijo Witko mimo lušta. "
Der See wurde jedoch komplett gesperrt.,Jazor pak su dopołnje zastajili.
•  zuständig: jeweilige Bibliothek,•  pśisłušna za to: pótrjefjona biblioteka
Die Regionalverbände und Vereine hatten sieben Personen vorgeschlagen.,Župy a towaristwa su sedym wósobow pomjenjowali.
Deshalb mahnt uns das Evangelium auch zu dieser Barmherzigkeit.,Togodla nas napomina  ewangelium k toś tej zmilnosći.
Sein gelb-braunes Fell hat schwarze Punkte.,Jogo žołtobruny kóžuch ma carne dypki.
"Sie haben das Spiel heute verloren, obwohl sie besser gespielt haben.","Wóni su gru źinsa zejgrali, lěcrownož su lěpjej grali."
