de,hsb
Beim Kaffeekochen macht sich das in unterschiedlichen Zubereitungszeiten bemerkbar.,Při warjenju kofeja je to w rozdźělnych přihotowanskich časach pytnyć.
Er feiert an diesem Tag seinen 90. Geburtstag.,Wón swjeći na tutym dnju swoje 90. narodniny.
Grossman ist ein der Verzweiflung naher Patriot.,"Grossman je wótčinc, kiž je blisko zadwělowanju."
Wir haben uns über die Konzertkarten gefreut.,My smy so nad kartkami za koncert wjeselili.
Diesen ziemlich langen und komplizierten Begriff sollten wir kurz entschlüsseln.,Tele chětro dołhe a komplikowane zapřijeće měli skrótka rozklučować.
"Übrigens, haben Sie seither etwas von ihr gehört?","Připódla prajene, sće wot toho časa něšto wo njej słyšał?"
Der Nuntius überzeugte sich von einer tiefen Frömmigkeit und lebendigen sorbischen Kultur.,Nuncius přeswědči so wo hłubokej pobožnosći a žiwej serbskej kulturje.
"Gewitter sollten soundso gemieden werden, das ist klar.","Njewjedrow měli so tak a tak pasć, to je jasne."
Die Aktienbörsen werden im Wesentlichen von Psychopathen bevölkert.,Akcijowe bursy zwjetša psychopaća zaludnjeja.
"Ich hoffe, du verstehst mich.","Nadźijam so, zo mje zrozumiš."
Sein Zorn hat sich gelegt.,Jeho hněw je popušćił.
Deutschland mit den heutigen Grünen: nun ja.,Němska z dźensnišimi Zelenymi: nó haj.
"Du wirst mich übermorgen dort hinfahren, das hast du mir versprochen.","Dowjezeš mje tam zajutřišim, to sy mi slubił."
Der Vater hat den Koffer zu Hause stehen lassen.,Nan je kófer doma stejo wostajił.
Wundert sich über die Frau und ihr Verschwinden.,Dźiwa so žonje a jeje zhubjenju.
"Der geographische, chronologische und kulturelle Kontext beeinflusst das Ergebnis.","Geografiski, chronologiski a kulturny kontekst wuslědk wobwliwuje."
Das Präsidiumsmitglied des Bundesvorstandes der des Domowina grüßte die Nachbarn vom Vorsitzenden der Domowina.,Čłon prezidija Zwjazkoweho předsydstwa Domowiny postrowi susodow wot předsydy Domowiny.
"Wir können es nicht zulassen, dass der Milchsektor kollabiert.","Njemóžemy dopušćić, zo so mlokowy sektor zbankrotni."
Was wünschst du dir zu Weihnachten?,Što přeješ sej k hodam?
Ausschneiden und probenähen.,Wutřihać a na probu šić.
Sie bereitete ein Ragout mit Würzfleisch und Pilzen zu.,Wona spřihotowa ragout z ragout finom a hribami.
"Auf Altsorbisch hieß das, dass eine Kugel das Pferd schneidet.","Po starym serbskim rěkaše to, zo konja kulka rěza."
Auch die Ergotherapie oder schier Musiktherapie können erfolgreich sein.,Tež ergoterapija abo sama hudźbna terapija móžetej wuspěšnej być.
An Arbeitstagen ist der Schlaf-Wach-Rhythmus durch die Arbeitszeiten eingeschränkt.,Na dźěłowych dnjach je rytmus spara-njespara přez dźěłowe časy wobmjezowany.
"Was ihm genau zur Last gelegt werde, sei bisher nicht bekannt.","Što jemu dokładnje wumjetuja, njeje dotal znate."
Somit fehlt sehr oft die notwendige rechtliche Konsequenz.,Z tym faluje jara husto trěbna prawniska konsekwenca.
Die Bewertung des Kolloquiums erfolgt durch eine Prüfungskommission des betreffenden Gymnasiums.,Pohódnoćenje kolokwija přewjedźe so přez pruwowansku komisiju wotpowědneho gymnazija.
Wir wollen das Bad weiter betreiben.,Chcemy kupjel dale wobhospodarjeć.
Dies fällt also in den Tätigkeitsbereich des Konvents über die Zukunft der Union.,To padnje potajkim do skutkowanišća konwenta wo přichodźe Unije.
Bei Gefahr oder großer Anspannung müssen wir mehr leisten.,Při straše abo wulkej napjatosći dyrbimy wjace zdokonjeć.
Alojs Andricki starb als Märtyrer im Konzentrationslager Dachau.,Alojs Andricki zemrě jako martrar w koncentraciskim lěwje w Dachauwje.
So schreibt Juliana Kaulfürstowa im Vorwort des 105-seitigen Buches.,Tak piše Juliana Kaulfürstowa w předsłowje 105-stronskeje knihi.
Superintendent Jan Malink teilte das gestern Nachmittag in Seidewinkel mit.,Superintendent Jan Malink zdźěli to wčera popołdnju w Židźinom.
Der Mensch wird geboren und vergeht wieder.,Čłowjek so narodźi a zaso zańdźe.
"Die Einrichtung von mobilen, unbürokratischen Betreuungseinrichtungen ist eine begrüßenswerte Idee.","Zarjadowanje mobilnych, njeběrokratiskich zastaranskich zarjadnišćow je witana ideja."
Er will als Direktkandidat seiner Partei für den Bundestag kandidieren.,Chce jako direktny kandidat za swoju stronu do Zwjazkoweho sejma kandidować.
"Sie liebte es, dem Rauschen des Meeres zuzuhören.","Wona lubowaše, šumjenju morja připosłuchać."
"Es kann sein, dass sie überrascht war, als sie die Neuigkeiten gehört hatte.","Móže być, zo bě překwapjena, jako bě nowinki słyšała."
Fertige eine Übersicht an.,Přihotuj sej přehlad.
"Gerne veröffentliche ich die Arbeit für die Sorben, allerdings nicht auf Deutsch, sondern auf Sorbisch.","Rady wozjewju dźěło za Serbow, nic pak němsce, ale serbsce."
Am 15. Mai kehrten die Siebitzer nach Hause zurück.,15. meje so Zejičenjo domoj nawróćichu.
Das Leistungsangebot des Pflegedienstes kann individuell in Anspruch genommen werden.,Wukonowy poskitk hladanskeje słužby móže so indiwidualnje wužiwać.
Fachlich wird das als Dissoziation bezeichnet.,Fachowje mjenuja to disociaciju.
War das alles oder möchtest du zahlen?,"Bě to wšo, abo chceš zapłaćić?"
"Um Unfälle zu vermeiden, ist Umsicht geboten, insbesondere bei Sprengungen.","Zo by so njezbožam zadźěwało, je wobhladniwosć trěbna, wosebje při rozbuchnjenjach."
"Sie stehen, mit ihren nach vorne geneigten Häuptern, in keinerlei Kontakt.","Wonaj njestejitaj, ze swojimaj doprědka nachilenymaj hłowomaj, w žanymžkuli kontakće."
"Warum du ein Ladekabel, das du gerade nicht benötigt, aus der Steckdose ziehen solltest.","Čehodla dyrbjał nabiwanski kabl, kotryž runje njetrjebaš, z tykački wućahnyć."
Häufig liegt Baustaub in der Luft nicht.,Husto twarski proch w powětře njeje.
Er freute sich über seinen guten Fortschritt in der Menschenkunde.,Wón wjeseleše so nad swojim dobrym postupom w čłowjekowědźe.
"Sie besteht aus einer siebenstelligen Zeichenkette (sogenannte elektronische Versicherungsbestätigung ""eVB"").","Wona wobsteji ze sydomměstnoweho znamješkoweho slěda (tak mjenowane elektroniske zawěsćenske wobkrućenje ""eVB"")."
Wer war der Organisator der ersten sorbischen ethnografischen Ausstellung?,Štó bě organizator prěnjeje serbskeje etnografiskeje wustajeńcy?
Ausnahme ist der ehemalige Tagebau Cottbus Nord.,Wuwzaće je něhdyša jama Choćebuz sewjer.
Er ist aber wortkarg.,Wón pak je na hubu chromy.
All dies muss rechtlich unterstützt und geregelt werden.,Wšitko tole dyrbi so prawnisce podpěrować a rjadować.
"Gut gestaltet, kann sie beiden Seiten zugutekommen.","Derje wuhotowana, móže wona woběmaj stronomaj wužitna być."
Die neue Regionalsprecherin kann an das Wirken ihrer Vorgängerin anknüpfen.,Nowa regionalna rěčnica móže na skutkowanje swojeje předchadnicy nawjazać.
Was erlaubte der sorbische Bischof Franc Jurij Lok 1814 der Ostroer Pfarrgemeinde?,Što dowoli serbski biskop Franc Jurij Lok 1814 Wotrowskej wosadźe?
"Mitte April 2025, Berlin: 25 Grad, strahlende Sonne.","Srjedź apryla 2025, Berlin: 25 stopnjow, jasne słónco."
"Einen lieben sonnigen Gruß, J. Jankowscyna.","Luby słónčny postrow, J. Jankowscyna."
Der Marktstand ist sozusagen ein kleines Geschäft in einer kleinen Hütte.,Předawanišćo na wikach je takrjec mały wobchod w małej budce.
In diesen Fragen sollte die 2plus-Konzeption weiter qualifiziert werden.,W tutych prašenjach měła so 2plus-koncepcija dale kwalifikować.
Hinweise zu zwei Präsentationsmöglichkeiten findest du hier.,Pokiwy k móžnosćomaj prezentacije namakaš tu.
"Das bewirkt eine Säuerung im Labmagen, und es entstehen Gase.","To wuskutkuje kisalenje w putrach, a nastanu płuny."
Auch die Beseitigung schützender Pflanzen an Feldrainen hat der Erosion Vorschub geleistet.,Tež wotstronjenje škitnych rostlinow na pólnych mjezach polěkowaše eroziji.
"Solange die Auswirkungen des Unrechts noch spürbar sind, lässt das Interesse nicht nach, sagte Roland Jahn.","Dołhož začuwamy wuskutki njeprawdy hišće, zajim njepopušća, rjekny Roland Jahn."
"Heute weiß ich, beides oder sogar mehr darf nebeneinander existieren.","Dźensa wěm, zo woboje abo samo wjace smě porno sebi eksistować."
Anfang der 50-er Jahre des vergangenen Jahrhunderts kam die Frage der Hymne auf.,Spočatk 50tych lět zašłeho lětstotka zeschadźa prašenje hymny.
Hinfort mit dem schwarzen Raben!,Preč z tym čornym rapakom!
"Ich muss noch mehr Sorbisch lernen, um sorbisch zu sprechen.","Dyrbju hišće wjace serbsce wuknyć, zo bych serbsce rěčała."
Die Polizei reagiert darauf zurückhaltender.,Policija reaguje na to zdźeržliwišo.
Roschek bekennt sich als Anhänger einer Minderheitsregierung.,Roschek so wuznawa jako přiwisnik mjeńšinoweho knježerstwa.
Zum Vorsitzenden des katholischen Vereins wählten sie erneut Cyrill Hančik aus Radibor.,Za předsydu katolskeho towarstwa wuzwolichu znowa Cyrila Hančika z Radworja.
Am Faschingsdienstag gibt es Bonbons und bunte Luftballons.,Póstnisku wutoru sydaja placki a mamy pisane balonki.
"Wir beantworten Fragen zu ihm und sagen, in welchen Tests er auffiel.","Wotmołwimy prašenja wonjej a prajimy, w kotrych testach wona napadny."
Auf deinem Handy finden sich ungewollte Apps.,"Na twojim handyju namakaja so appy, kotrež nochceš."
"So kommt es vor, dass ein Teil des Futters im Schlund stecken bleibt.","Tak so stanje, zo wostawa dźěl picy w póžěradle tčacy."
Doch manche alten Knochen sind heute richtig wertvoll.,Tola někotre stare kmótry su dźensa prawje drohotne.
Insgesamt entstand durch den Bergbau ein dichtes Netz von dörflichen Siedlungen und Städten.,Cyłkownje nasta přez hórnistwo husta syć wjesnych sydlišćow a městow.
Der einzige normale Typ dort kommt aus Westfalen.,Jenički normalny typ tam pochadźa z Westfalskeje.
Es gibt sogar eine Immobilienwertermittlungsverordnung (ImmoWertV).,Eksistuje samo postajenje wo zwěsćenju imobilijowych hódnotow (ImmoWertV).
"Es wurde 1996 geboren, war ein Jersey Wooly und hieß Do.","Wón narodźi so 1996, bě jersey wooly a rěkaše Do."
"Er war Sozialdemokrat, kein Parteimann, sondern ein Einzelkämpfer.","Wón bě socialdemokrat, žadyn muž strony, ale samotny wojowar."
So mancher hat den Sommerurlaub schon längst gebucht.,Někotryžkuli ma lětny dowol hižo dawno knihowany.
"Der Erotiker wird der Frau jeden gönnen, dem er sie nicht gönnt.","Erotikar popřeje žonje kóždeho, kotremuž ju njepopřeje."
„Na křižach“ – Eine Sammlung von Erzählungen über das Leben und die Herausforderungen der Sorben.,„Na křižach“ – Zběrka powědančkow wo žiwjenju a wužadanjach Serbow.
"Er beschließt jedoch, dass er das Unglaubliche für sich behält.","Wón pak so rozsudźi, zo to njemóžne za sebje wobchowa."
Ich möchte nicht Pestarzt sein!,Nochcu mórowy lěkar być!
Außerdem kann niemand in die Zukunft schauen.,Nimo toho njemóže nichtó do přichoda hladać.
Willkommen zu unserem heutigen Bildungstag hier im Oberland.,Witajće na naš dźensniši kubłanski dźeń tu w hornim kraju.
Denn das macht es so einfach.,Wšako wono to tak jednore čini.
Ohnehin muss unverzüglich Schluss sein mit den Tests mit Menschenaffen.,Tak a tak dyrbi bjez komdźenja kónc być z testami z čłowječimi wopicami.
Das war leicht zu bewerkstelligen und taktisch geschickt.,To bě lochko zrealizować a taktisce wušikne.
"Innerhalb des Betriebes ist es jedoch mit Fug und Recht zulässig, einen Arbeitnehmer zu versetzen.","Znutřka zawoda pak je bjeze wšeho dowolene, dźěłopřijimarja přesadźić."
Mein Freund Tadej geht aber nicht gemeinsam mit uns zur Schule.,Mój přećel Tadej pak zhromadnje z nami do šule njechodźi.
Dann können wir vielleicht in den Duschzellen den Schlamm abspülen.,Potom móžemy snano w dušowych celach błóto wotpłokać.
"Die Kurve geht nach links, man muss links abbiegen.","Křiwica dźe na lěwo, dyrbiš nalěwo wotbočić."
Reichen Sie die Antragsunterlagen bei der zuständigen Abgabenstelle (Landesdirektion) ein.,Zapodajće podłožki próstwy na přisłušnym zarjedźe za wotedawki (krajna direkcija).
"Woher kommst du denn, so eine Kleidung habe ich noch nie gesehen?","Zwotkel da přińdźeš, tajku drastu njejsym hišće ženje widźała?"
Regierung und Union haben sich das Thema aus der Hand schlagen lassen.,Knježerstwo a Unija stej temu z ruki wurazyć dałoj.
Innovationsstärke wird mehr als früher zum Schlüssel einer höheren Wettbewerbs-Fähigkeit.,Inowaciska zamóžnosć budźe wjace hač prjedy kluč wyšeje wubědźowanskeje zamóžnosće.
"Achten Sie darauf, dass Ihre IoT-Geräte sensible Informationen verschlüsselt übertragen.","Dźiwajće na to, zo Waše IoT-nastroje sensibelne informacije zaklučowane přenošuja."
Dort war unheimlich viel ehrenamtliche Arbeit dabei.,Tam bě njesměrnje wjele čestnohamtskeho dźěła pódla.
Vielen Dank und viel Spaß noch beim Verteilen der Post!,Dźakuju so a wjele wjesela hišće při rozdźělowanju póšty!
Sie ist meist für den Export bestimmt.,Wona je zwjetša za eksport postajena.
Was ist das denn für eine Idee?,Što da je to do ideje?
Seine Enkeltochter Kirsten Bejmina führt sie noch bis heute.,Jeho wnučka Kirsten Bejmina nawjeduje ju hišće hač do dźensnišeho.
Affiliate-Manager/innen koordinieren und kontrollieren den Bereich Affiliate-Marketing.,Affiliate managerjo/managerki koordinuja a kontroluja wobłuk affiliate marketinga.
Eine indische Großfamilie als exemplarisches Beispiel.,Indiska wulkoswójba jako eksemplariski přikład.
In den Monaten Juli und August lief daher der Gastbetrieb nach Plan aus.,W měsacomaj julij a awgust tuž korčmarjenje po planje wuběža.
Die Situation wird sich nun verschärfen.,Situacija so nětko přiwótři.
Sie untersuchen die sorbische Sprache in ihren verschiedenen Facetten.,Přepytuja serbsku rěč w jeje wšelakich fasetach.
"In dem Wagen saß ein Mann, mit einem Kaftan bekleidet, und verkaufte Sicheln.","We wozu sedźeše muž, kaftan zwoblěkany, a předawaše serpy."
Im Winter sehen wir sie oft am Vogelhäuschen.,W zymje widźimy je husto při ptačej chěžce.
Hauptsitz der Gesellschaft ist die Mainmetropole Frankfurt im Herzen Deutschlands.,Hłowne sydło towaršnosće je metropola Mohana Frankfurt w nutrinach Němskeje.
Mehrere Haufen für das Hexenbrennen wurden vorzeitig abgebrannt.,Wjacore hromady za chodojtypalenje buchu přezahe wotpalene.
Was schwafelst du da?,Što ty tam žuješ?
Das hat den Journalisten Heribert Prantl nicht angefochten.,To žurnalista Heriberta Prantla znjeměrniło njeje.
Das Gedicht setzt also als Thema den Frieden.,Baseń sadźa potajkim jako temu pokoj.
Die Schule hat den Schulbesuch für den Antragszeitraum zu bestätigen.,Šula ma wobdźělenje na šulskej wučbje za požadany čas wobkrućić.
Dazu tragen auch viele persönliche Kontakte aus der Kindheit bei.,Tomu přinošuje tež wjele wosobinskich kontaktow z dźěćatstwa.
Ich halte das Spiel daher für zu schwierig.,Mam hru tuž za přećežku.
"Krabat ohrfeigte den König, dass er anfing zu taumeln.","Krabat kralej fawcu sadźi, zo so tón začumpa."
"Längst hat sich gezeigt, dass dieses Doppelspiel im AfD-Milieu verfängt.","Dawno je so pokazało, zo so tuta dwójna hra w miljeju AfD zašmjata."
So einen großen Lastwagen kann jeder Dussel fahren.,Tajke wulke nakładne awto móže kóždy hepjel wodźić.
Rein bleiben und reif werden ist höchste und schwerste Lebenskunst.,Čisty wostać a so zrały stać je najwjetši a najćeši wuměłstwo žiwjenja.
"Auf Texttafeln wird erklärt, wie Sachsen zum Kurfürstentum wurde.","Na tekstowych taflach so wujasni, kak sta so Sakska z kurwjerchowstwom."
"Wie auch immer, du wirst es nie herausfinden.","Kažkuliž, njebudźeš to ženje wuslědźić."
Von Hand wechseln sie Siebe an Aufbereitungsanlagen aus.,Z ruku wuměnjeja křidy na přihotowanskich připrawach.
Leere Flaschen sind nichts für die Gäste.,Prózdne bleše za hosći ničo njejsu.
Danke fürs Zuschauen und bis zum nächsten Mal.,Dźakuju so za přihladowanje a hač do přichodneho razu.
"Also der Regeln, Gesetze und der politischen Filterprozesse.","Potajkim prawidłow, zakonjow a politiskich filtrowych procesow."
"Schäme dich nicht zu schweigen, wenn du nichts zu sagen hast.","Njehańbuj so mjelčeć, hdyž nimaš wulke słowo wjesć."
Das war und ist falsch.,To bě a je wopak.
Auf dem großen Rasen im Garten wirst du diese Gesellschaft finden.,Na wulkim trawniku na zahrodźe namakaš ty tule towaršnosć.
"Schließen Sie es vorn mit einer Sicherheitsnadel so, dass ein spitzer Ausschnitt entsteht.","Zapińće jón prědku ze zapinawku tak, zo nastanje kónčkojty wurězk."
Über die Silberstraße gelangte der Reichtum nach Dresden.,Po Slěbrowej dróze dósta so bohatstwo do Drježdźan.
Leistungen der häuslichen Krankenpflege.,Pjenježne podpěry domjaceho hladanja chorych.
"Und noch ein Beispiel, „Sollten wir vielleicht …?“","A hišće jedyn přikład, „Dyrbjeli snano …?“"
"Auf diese Weise ist der Pegel nachts, wenn wir schlafen, am niedrigsten.","Na tute wašnje je pegel w nocy, hdyž spimy, najniši."
