hsb,dsb
Wuchodźowachmy so po dróhach a dundachmy po wikach w Nairobiju.,Smy se pó drogach pśechójźowali a smy pó wikach w Nairobiju dundali.
"Wokrjes Budyšin je sej předewzał, lětsa hišće certifikat docpěć.","Wokrejs Budyšyn jo se pśedewzeł, lětosa hyšći certifikat dojśpiś."
Dodawki k dnjowemu porjadej so wot čłonow njepřeja.,Dodanki k dnjownemu pórědoju se wót cłonkow nježyce.
Dopomnjenki drje běchu jenož za njeho myslene.,Dopomnjeśa drje su byli jano za njogo myslone.
"„Mojedla“, zdychny Popjełčapka a powědaše cyłu stawiznu.","„Mójogodla“, jo Popjelowa šapka zdychnuł a jo wulicował cełe tšojenje."
"Hakle nětko, pod wuměnjenjemi mjezy překročaceho zhromadneho slědźenja, dokumenty wobdźěłuja.","Akle něnto, pód wuměnjenjami granice pśekšacajucego zgromadnego slěźenja, wobźěłuju se dokumenty."
"Móhło lěpje być, we wokomiku chce wona jenož swój měr.","By mógało lěpjej byś, we wokognuśu co wóna jano swój měr."
Nochcemy ani na wliwy asimilacije hladać.,Njocomy daniž na wliwy asimilacije glědaś.
Ty diktuješ twojemu přećelej dołhi list na swoju nowu přećelku.,Ty diktěrujoš twójomu pśijaśeloju dłujki list na jogo nowu pśijaśelku.
Tuta funkcija so bórze na křesćanske wosady rozšěri.,Toś ta funkcija jo se skóro rozšyriła na kśesćijańske wósady.
"Tu chowa so mnohich rjanych, zajimawych, zdźěla žadnych rostlinow.","How se chowa wjele rědnych, zajmnych, źělnje rědkich rostlinow."
Wot přećelow sym něšto wo juhowuchodnej Aziji słyšał.,Wót pśijaśelow som něco wó krotkozajtšnej Aziji słyšał.
Wón je sobu skutkował w dalšich předstajenjach oratorijow.,Wón jo sobu statkował w dalšnych pśedstajenjach oratorijow.
Jeho disertacija je runje w Spisach Serbskeho instituta wušła.,Jogo disertacija jo rowno wujšła w Spisach Serbskego instituta.
Njetraje dołho a w horncach wari so kremowy wusmuž.,Njetrajo dłujko a w gjarncach se wari kremowata zmuda.
Tehdy nasta partnerstwo z Njebjelčicami.,Tegdy jo nastało partnaŕstwo z Njebjelčicami.
Wědomostnik přepytuje dźěło Statneje bjezstrašnosće.,Wědomnostnik pśepytujo źěło Statneje wěstosći.
To zwurazni sobotu braniborski minister za hospodarstwo Albrecht Gerber (SPD).,To jo sobotu zwuraznił bramborski ministaŕ za góspodaŕstwo Albrecht Gerber (SPD).
Knihi liča k njesmjertnym twórbam swětoweje literatury.,Knigły lice k njesmjertnym twórbam swětoweje literatury.
Kóžde ranje dźěše wona z druhimi holcami po całty.,Kužde zajtšo jo wóna chójźiła z drugimi źowćami pó guski.
Dale maja tam wólby měšćanskeje rady a wjesnych radow.,Dalej maju tam wólby měsćańskeje rady a wejsnych raźcow.
Awto steješe na parkowanišću a bě cyle zasněžene.,Awto jo stojało na parkowanišću a jo było ceło zasněgowane.
"Pomału dźělu so wot maty, doniž njesedźu.","Pómałem źělim se wót maty, daniž  njesejźim."
Pjatk 22. nowembra mějachu w Rownom wulke ćeže.,Pětk 22. nowembra su měli w Rownem wjelike śěže.
"Njebudźeće to wěrić, ale ja wudobych sej 1. městno.","Njebuźośo to wěriś, ale ja som se wudobył 1. městno."
Lětsa čaka hišće mamutowy projekt na wšitkich wobdźělenych.,Lětosa caka hyšći mamutowy projekt na wšyknych wobźělonych.
"Zyma wobběha će při tym, hdyž tole widźiš.","Zyma wobběgujo śi pśi tom, gaž to wiźiš."
Tak lutuja energiju a přetraja zymu bjez cyroby.,Tak žarje energiju a pśetraju zymu mimo caroby.
Samsny dźeń pak mobilizowachu tež łužiscy přećiwnicy jamy zwjazkarjow.,Ten samy źeń pak su mobilizěrowali teke łužyske pśeśiwniki jamy zwězkarjow.
W Kamjenej pola Radworja woswjećichu njedawno kermušu kapałki.,W Kamjenej pla Radworja su swěśili njedawno wuswěśenje kapałki.
Tuta kónčina je lědma spřistupjena dźiwizna.,Toś te strony jo lěbda wobźěłana źiwizna.
Přeco bě wo někotre kročele pomałši hač jeho riwalojo.,Pśecej jo był wó někotare kšoceńka pómałšy ako jogo riwale.
Na tutym městnje steji kolebka ćišćerskeho přemysła w Budyšinje.,Na toś tom městnje stoj kólebka śišćaŕskego źěłaŕstwa w Budyšynje.
Wšako dyrbi so derje wokoło porstow zwić dać.,Wšak dej se derje wokoło palcow wobwiś daś.
Jej by wón to bjeze wšeho nablaku přicpěwał.,Jej by wón to bźeze wšogo na flaku pśiśpił.
"Je tak měrne wot toho časa, zo wjace njerěčiš.","Jo tak měrne wót togo casa, ako wěcej njepowědaš."
Te dyrbja w rozsudnym wokomiku přeco čilać hić.,Te deje w rozsudnem wokognuśu pśecej lulaś hyś.
Edie z Brazilskeje by rady profi-kopar był.,Edie z Brazilskeje by rady profi-kopańcaŕ był.
Wón je železnicar a jako tajki běše přistajeny.,Wón jo zeleznicaŕ a ako taki jo był pśistajony.
W Němskej su Sintojo a Romojo hižo 600 lět doma.,W Nimskej su Sinti a Romy južo 600 lět doma.
Najebać wospjetne napominanja je wón pjenjezy wudał.,Njeglědajucy na wóspjetne napominanja jo wón pjenjeze wudał.
"Hdyž sej jón na nós staju, wupada to jara směšne!","Gaž sebje jej na nos sajźijom, wuglěda to wjelgin směšne!"
Muž wotstaji awto w pódlanskej hasy někotre kilometry zdaleneho městačka.,Muski wótstajijo awto w pódlańskej gasy někotare kilometry zdalonego městaška.
Nadróžny wobchad běži takrjec po regulach pasma za pěškow.,Nadrozny wobchad běžy rozmjej pó regulach pěškarjow.
"Dźědo, bych rady něšto wo twojich bolosćach wědźał.","Starki, by rad něco wó twójich bólosćach wěźeł."
"Njepřihłosuje zawodna rada přesadźenju, móže dźěłopřijimar přesadźenje wotpokazać.","Njepśigłosujo-li zawodowa rada pśesajźenju, móžo źěłobjerucy pśesajźenje wótpokazaś."
Jeju zhromadny syn je internist w Budyskej chorowni.,Jeju zgromadny syn jo internist w Budyšyńskej chórowni.
Nimo raka zawjedźe wón tohorunja wobroćenje a raka wobroćenja.,Mimo raka jo wón tejerownosći zawjadł wobrośenje a raka wobrośenja.
Kupće sej tute wudaće Rozhlada a čitajće dale.,Kupśo se toś to wudaśe Rozhlada a cytajśo dalej.
"Njeměli na pozicije, strony abo starobu hladać.","Njedejali na pozicije, strony abo starstwo glědaś."
"Hólc słyšeše, što sej ludźo prajachu, hdyž nana wjace njewidźachu.","Gólc jo słyšał, co su se luźe gronili, gaž nana njejsu wěcej wiźeli."
Jako młody muž je často při Hórnikečanskim jězoru stanował.,Ako młody muski jo cesto stanował pśi Hórnikecańskem jazorje.
"Hdyž wón sćerpnosć zhubi, móže wón jara njepřijomny być.","Gaž wón sćerpnosć zgubijo, móžo wjelgin njepśijazny byś."
Wšitke nowiny pisachu wo katolskim wulkozarjadowanju.,Wšykne casniki su pisali wó katolskem wjelikem zarědowanju.
Nadobo zasłyša wón jaskrawe „I-Aaah!“ za kerkom.,Naraz jo zasłyšał rězate „I-Aaah!“ za krickom.
Za jednoho bě to na wosebite wašnje posledni seminar.,Za jadnogo jo to był na wósebne wašnje slědny seminar.
Tute Slepjanske pěstowarki a hortnerki jara rady poskićachu.,Toś te su slěpjańske źiśownice a hortnaŕki wjelgin rad póbitowali.
Přechodnje so dźěl Hórnikoweho domu jako ćěłownja wužiwa.,Nachylnje se źěl Hórnikojskego domu ako wumarlikownja wužywa.
"Třećak Tobiaš přińdźe a zběhny ju na druhi, wysoki brjóh.","Tśeśi wótrošk Tobias jo pśišeł a jo ju zwignuł na drugi, wusoki brjog."
Na jara ćežke hospodarske lěta dyrbi so Dźěwinska gmejna nastajić.,Na wjelgin śěžke góspodaŕske lěta dej se Źěwinska gmejna nastajiś.
To bě atraktiwne předstajenje ze znatymi solistami.,To jo było atraktiwne pśedstajenje ze znatymi solistami.
Kokoška běžeše do kuchnje a zwari wulki hornc změrowaceho čaja.,Kokoška jo gnała do kuchnje a jo zwariła wjeliki gjarnc změrujucego teja.
"Rumbo praji Miškej: „Přimń, spalimy sćerba!“","Rumbo jo gronił Měškoju: „Pśimni, my spalijomy cerwišćo!“"
"„Ani miligram pak z předanju njezalutuja“, podšmórny aktiwistka.","„Daniž miligrama pak z pśedanju njezežariju“, jo pódšmarnuła aktiwistka."
"Při tym čuchaše cyły čas, hač někajki wosebitu wóń pytnje.","Pśi tom jo ceły cas nuchał, lěc někaku wósebnu wóń njepytnjo."
Wosobowy a městny register je při tym z wulkej pomocu.,Wósobowy a městny register jo pśi tom z wjelikeju pomocu.
Wětřik pak roznjese jeje wutrobite smjeće po łukach tohole swěta.,Wětš pak jo roznosował jeje wutšobne smjaśe pó łukach togo swěta.
Dožiwjenje zhromadnosće měło so wuhotować.,Dožywjenje zgromadnosći dejało se wugótowaś.
"Móžeš skerje wjesoły być, jeli docyła něšto widźiš.","Ty móžoš lubjej wjasoły byś, gaž scełego něco wiźiš."
"Tehdy powědachu ludźo, zo chce sej tu Smochčanske kubło kupić.","Tegdy su luźe wulicowali, až co sebje how kupiś smochcańske kubło."
Wójnske strony wujednachu skónčnje měrowe zrěčenje.,Wójnske strony su skóńcnje měrowe dogrono wujadnali.
Tak njemóža picne rezerwy za zymu wutworić.,Tak njamógu futrowańske rezerwy za zymu wutwóriś.
Wětřikec hólcy su jón dźensa w nocy chětro rozcybali.,Wětšowe gólcy su jen źinsa w nocy bejnje rozcybali.
Zazběh tworjachu twórby Heidelbergskeju wuměłcow.,Zachop su twórili twóŕby heidelbergskeju wuměłcowu.
W času politiskeho přewróta steješe na čole Němsko-sowjetskeho přećelstwa.,W casu politiskego pśewrośenja jo stojał na cole nimsko-sowjetskego pśijaśelstwa.
"Hdyž ma wona někajke přeće, dyrbja wšitcy skakać.","Gaž ma někake žycenje, deje wšykne skokaś."
"Bychu-li so zhubili, by to njenarunajomna škoda była!","Gaby se zgubili, by to k njenarownanju škóda była!"
"Na křižerjach wona poprawom była njeje, měnješe Nepomuk.","Na jatšownych rejtarjach njejo wóna pópšawem była, jo měnił Nepomuk."
Jedyn bu přistajeny jako wučer na spěchowanskej šuli.,Jaden bu pśistajony ako wucabnik na spěchowańskej šuli.
Wěcnu škodu trochuja na wjacore dźesaćitysacy eurow.,Wěcnu škódu pówoblicyju na někotare źaseśtysace euro.
Smy cyły čas dominowali a derje hromadźe hrali.,Smy ceły cas dominěrowali a derje gromaźe grali.
"Karačajenjo sami organizaciji zdźělichu, zo to chětro wobžaruja.","Karačajarje same su organizaciji zdźělili, až to wjelgin woblutuju."
Zwisuje to mjez druhim tež ze stawiznami z biblije.,Zwisujo to mjazy drugim teke ze stawiznami z biblije.
Stwjelca budźa so po dešćiku zaso zrunać.,Spjełka se pó dešću zasej wurownaju.
Wobě wodźiznje skićitej mnohim zwěrjatam žiwjenski rum.,Wobej wóźisce póbitujotej wjele zwěrjetam žywjeński rum.
"Wěmy, zo wobmjezowane resursy přespěšnje přetrjebamy a bjezzmyslne wójny wjedźemy.","Wěmy, až wobgranicowane resursy pśetrjebujomy pśemalsnje a wjeźomy bźezzmyslne wójny."
Zwjazkowa republika Němska njeje 1989 wobzamknjenu ILO-konwenciju 169 dotal ratifikowała.,Zwězkowa republika Nimska njejo 1989 wobzamknjonu ILO-konwenciju 169 doněnta ratificěrowała.
Wubědźowanje wo najlěpšu kucharku dyrbimy dla hubjeneho wjedra přesunyć.,Wuběźowanje wó nejlěpšu kuchaŕku musymy dla špatnego wjedra pśesunuś.
Sym parlamentarisku demokratiju dožiwił ze wšěmi jeje wyšinami a nižinami.,Som parlamentarisku demokratiju dožywił ze wšymi jeje wušynami a nižynami.
Wobsah   schwaleny.,Wopśimjeśe   jo pśizwólone.
To bě pěstowarskim dźěćom wulke wjeselo a zdobom wosebite dožiwjenje.,To jo było za źiśi źiśownjow wjelike wjasele a rownocasnje wósebne dožywjenje.
Wjele wšelakich eksponatow wotbłyšćuje pisanosć a šěrokosć jeje wuměłskeho tworjenja.,Wjele wšakorakich eksponatow wótbłyšćujo pisanosć a šyrokosć jeje wuměłskego twórjenja.
Tale twórba bě njedawno w Drježdźanskej wustajeńcy „OSTRALE 14“ wustajena.,Toś ta twóŕba jo była njedawno wustajona w drježdźańskej wustajeńcy „OSTRALE 14“.
Tohodla smy akademiju k wuknjenju załožili.,Togodla smy akademiju k wuknjenju załožyli.
Wój žněještej w prózdninach pola susodźic hromak za kapsny pjenjez.,Stej j w prozninach  pla susedojc žněłej gromak za kapsne pjenjeze.
"Powědaj nětko wo dožiwjenju, na kotrež tute přisłowo wosebje přitrjechi!","Wulicuj něnto wó dožywjenju, na kótarež wósebnje pśitrjefi toś te pśisłowo!"
Budyšin je jedne swětej wotewrjene město.,Budyšyn jo jadno swětoju wótwórjone město.
To njeje tola tak zlě.,To njejo tola tak zlě.
Trjebamy wěste městna za stanowarjow a móžnosć kupanja.,Trjebamy wěste městna za wužywarjow stanowišća a móžnosć za kupanje.
Zwobraznja tež žiwjenske hesło wjelelětneje wotrjadnicy empiriskeho kulturneho slědźenja/ludowědy.,Zwobraznjujo teke žywjeńske gronidło dłujkolětneje wjednice empiriskego kulturnego slěźenja / ludowědy.
"My hólcy smy zwjetša prědku nalěwo sedźeli, holcy prědku naprawo.","My gólcy smy zwětšego sejźeli prědku nalěwo, źowća prědku napšawo."
Prěni rozsudny schodźenk dołheho rěbla bě wón přewinył.,Prědny schójźeńk dłujkego jabrja jo wón pśewinuł.
Někotre wobstatki biblioteki namakachu w pincy ryćerkubła w Žornosykach.,Někotare wobstatki biblioteki su namakali w piwnicy kněžkojskego dwórja w Žornosykach.
"Za to trjebaš kreatiwitu, spěšnu rozsudźenosć a dobrych partnerow.","Za to trjebaš kreatiwnosć, malsnu rozsuźonosć a dobrych partnarjow."
Tutych předewzaćelow mjenowachu ludźo často tohodla tež „kapitalistow“.,Toś tych pśedewześarjow su luźe pomjenjowali cesto togodla teke „kapitalistow“.
Frank Richter spyta na prašenje z aktualnym poćahom wotmołwić.,Frank Richter jo wopytał na pšašanje z aktualnym póśěgom wótegroniś.
"Tu budźeš wotnětka spać, ale to móžeš sej pozdźišo wobhladać.","How buźoš wótněnta spaś, ale to móžoš se woglědaś pózdźej."
Na wobliču zjewi so posměwk a Miliduch chwaleše jeho.,Na woblicu jo se zjawił pósmjejk a Miliduch jo jogo chwalił.
Musical słuša k najwjetšim wuspěcham wšěch časow na Broadwayju.,Musical słuša k nejwětšym wuspěcham wšych casow na Broadwayu.
Hakle wotdaloka wobhladane zestaja so za naše wóčko stilizowana kompozicija.,Akle zdaloka woglědane zestaja se za našo wócko stilizěrowana kompozicija.
Prěnje kročele su dźensa a jutře hižo planowane.,Prědne kšace su źinsa a witśe južo planowane.
Žony a mužojo wola 19. januara Wustawu dawacu narodnu zhromadźiznu.,Žeńske a muske wóle 19. januara wustawu dawajucu narodnu zgromaźinu.
Hwězdno Wulkeho woza je cyle jasnje widźeć.,Gwězdno Wjelikego wóza jo ceło jasnje wiźeś.
"Je to wjes Wotpočink, kotraž słuša hižo do Malešanskeje gmejny.","Jo to wjas Wótpócynk, kótaraž słuša južo do Malešańskeje gmejny."
"Ale lěpje mokra cyroba, hač zo by ju woda zežrała.","Ale lěpjej mokšu carobu, ako by ju wóda zežrała."
Wowka so wo Christu stara a dawa jej wodu.,Starka se wó Christu stara a dawa jej wódu.
Našej lubej přećelce pochadźatej z Budyšinka.,Naju lubej pśijaśelce póchadatej z Budyšynka.
Kak sej wy to poprawom nětko předstajiće z pućowanjom?,Kak sebje to zapšawym něnto pśedstajaśo z drogowanim?
Z tym zhubi so tež wjele družin trawow a zelow.,Z tym jo se zgubiło teke wjele družynow tšawow a zelow.
Za kóždy wopytany objekt dóstanje wobdźělnik jedyn kołk.,Za kuždy woglědany objekt dostanjo wobźělnik jaden kołk.
Młoda hudźbna skupina a orchester přeću publikuma rady wotpowědowachu.,Młoda muzikowa kupka a orchester su žycenju publikuma rady wótpowědowali.
Štó móže w swójbje abo we wušim kruhu dźěsća serbsce?,Chto wumějo we familiji abo we wušem krejzu góleśa serbski?
"Plestrowany přeběženski próh zmóžnja při wulkej wodźe, zo woda wotběži.","Flastrowany prog pśeběga zmóžnijo pśi wjelikej wóźe, až wóda wótběžyjo."
Nětko sydnje so Wanda na stólc a překřižuje noze.,Něnto sednjo se Wanda na stoł a pśekśickujo noze.
"Waaah, je to wysoko, mojej noze stej kaž z pudinga.","Waaah, jo to wusoko, mójej noze stej ako z pudinga."
"Pola insektowych larwow namakaja so družiny, kiž so rubježnje zežiwja.","Pla insektowych larwow namakaju se družyny, kenž se rubjažnikojski zežywiju."
Žadyn puć njeje móžny bjez dobrowólneje budgetoweje konsolidacije.,Droga bźeze dobrowólneje budgetoweje konsolidacije njejo móžna.
Wjelk wočini klamu a wowku spóžrě do swojeho žołdka.,Wjelk jo mulu wócynił a starku do swójogo brjucha póžrěł.
Sewjeroněmska nižina je poměrnje płona krajina z mało wysokostnymi rozdźělemi.,Pódpołnocnonimska nižyna jo poměrnje płona krajina z mało wusokostnymi rozdźělami.
Wy bjesadowašće po nyšporje na kěrchowje ze susodźic Katu.,Wy sćo se rozgranjali pó nabóžninje na kjarchobje ze susedojc Katu.
Tež kubłanje dorosćenych je w biosferowym rezerwaće njeparujomne.,Teke kubłanje dorosćonych jo w biosferowem rezerwaśe njewuzbytne.
1304 so Petrus et Sifridus de Nebilschicz naspomnichu.,1304 stej wobspomnjonej Petrus et Sifridus de Nebilschicz.
Narodźena w Grabinje nawukny po wuchodźenju šule powołanje molerki.,Naroźona w Grabinje jo nawuknuła pó skóńcenju šule pówołanje mólaŕki.
"Direktor, kotryž je wobjed woptać směł, bě zahorjeny.","Direktor, kótaryž jo wobjed wopytaś směł, jo był zagórjony."
Wosoba měješe hibićiwe zasadźenje za serbske zajimy slubić.,Wósoba jo dejała pógibne zasajźenje za serbske zajmy zlubiś.
Jeho mała frakcija njeměješe wjele wliwa na nich.,Jogo mała frakcija njejo měła wjele wliwa na nich.
Wón je naš narěčenski partner při zarjadach.,Wón jo naš pśigranjański partnaŕ pśi zastojnstwach.
